,fname,one_x_offset_init,one_amplitude_init,two_amplitude_init,two_x_offset_init,one_x_offset_fitted,one_amplitude_fitted,two_amplitude_fitted,two_x_offset_fitted,redchi
0,C2doubles00057,5.94524979219e-06,1.00108452923,1.00108452923,7.00324974813e-06,5.99774937941e-06,0.858529094145,1.07304139442,6.86409410924e-06,0.964615068446
0,C2doubles00057,5.94524979219e-06,1.00108452923,1.00108452923,7.00324974813e-06,5.99774937941e-06,0.858529094145,1.07304139442,6.86409410924e-06,0.964615068446
0,C2doubles00060,5.51825384759e-06,1.00108452923,1.00108452923,7.44725379303e-06,5.47376529232e-06,1.02297861251,0.901668902208,7.445094533e-06,1.0743120567
0,C2doubles00121,4.84724693516e-06,1.00108452923,1.00108452923,7.65224685583e-06,4.81855318643e-06,0.831882556981,0.829877598965,7.60135628058e-06,1.38558016444
0,C2doubles00134,3.48824697359e-06,1.00108452923,1.00108452923,8.01124684567e-06,3.46176296366e-06,0.879449072356,0.811892068795,8.00637825223e-06,0.664424835077
0,C2doubles00140,7.59124974564e-06,1.00108452923,1.00108452923,8.08924971741e-06,7.66530351966e-06,0.686257518098,1.05497689354,7.77296509306e-06,1.0844089251
0,C2doubles00213,1.98024586101e-06,1.00108452923,1.00108452923,4.17924579881e-06,1.90276758654e-06,1.07381802635,0.825019089035,4.16355144619e-06,2.88525116696
0,C2doubles00216,4.03725100139e-06,1.00108452923,1.00108452923,6.34025093625e-06,3.97674181761e-06,0.852971916787,1.01602479041,6.35181736967e-06,0.927203338453
0,C2doubles00242,3.33924755542e-06,1.00108452923,1.00108452923,4.04324752137e-06,3.36780269349e-06,0.974336494671,0.811598430884,3.76672250572e-06,1.0123762452
0,C2doubles00265,4.70724751673e-06,1.00108452923,1.00108452923,6.45324745321e-06,4.79465321765e-06,1.09290131968,0.972284023968,6.22516841087e-06,0.803590883099
0,C2doubles00267,3.17724813762e-06,1.00108452923,1.00108452923,4.83724807653e-06,3.38085654526e-06,0.883989503903,0.889594742527,4.55257053101e-06,0.872608569686
0,C2doubles00285,7.12249362572e-07,1.00108452923,1.00108452923,3.03524929687e-06,6.08874312474e-07,0.803194190709,0.995358781394,2.98399862464e-06,4.0716987628
0,C2doubles00422,6.79924745757e-06,1.00108452923,1.00108452923,7.93324741135e-06,7.49169737547e-06,0.953625055798,0.466256397895,7.89318868595e-06,1.25665018491
0,C2doubles00451,2.68925277236e-06,1.00108452923,1.00108452923,3.09925274663e-06,2.75999719574e-06,1.20453413956,0.717603944945,2.75800128747e-06,0.904365095523
0,C2doubles00458,5.86252831839e-07,1.00108452923,1.00108452923,5.03125270613e-06,5.17103615047e-07,1.07248077041,0.988366503891,4.91200275171e-06,1.11676401299
0,C2doubles00542,2.20424932037e-06,1.00108452923,1.00108452923,7.11724918143e-06,2.19950080667e-06,0.913459271516,1.08448594258,7.06282907317e-06,0.996519845453
0,C2doubles00595,1.79724471095e-06,1.00108452923,1.00108452923,6.5792445757e-06,1.66968405339e-06,0.916253980316,0.857849874073,6.58875923377e-06,0.824501525286
0,C2doubles00655,5.52424691601e-06,1.00108452923,1.00108452923,7.8192468511e-06,5.47186002049e-06,0.70226494924,1.18963360714,7.91731130031e-06,1.22529981103
0,C2doubles00663,4.41924925773e-06,1.00108452923,1.00108452923,6.97624918541e-06,4.31709877632e-06,0.666151918008,1.07413549079,6.97054814033e-06,0.914971533318
0,C2doubles00676,2.85724872429e-06,1.00108452923,1.00108452923,4.37324866727e-06,2.94467360371e-06,0.893796906017,1.13832009039,3.82568728712e-06,0.906809355609
0,C2doubles00682,2.75725334806e-06,1.00108452923,1.00108452923,3.60725330988e-06,2.78666522563e-06,0.879569502119,1.07651865661,3.0760149586e-06,0.970588037608
0,C2doubles00705,3.89725042773e-06,1.00108452923,1.00108452923,5.82025037334e-06,3.83400050978e-06,1.08851967877,0.909406596579,5.7541416863e-06,0.898883682744
0,C2doubles00794,3.52225217119e-06,1.00108452923,1.00108452923,5.9012521039e-06,3.42448542949e-06,0.882260590833,1.08632221089,5.81067809538e-06,0.995320827786
0,C2doubles00847,4.88425097743e-06,1.00108452923,1.00108452923,6.37325093532e-06,4.82799720386e-06,0.896999038359,1.00152653475,6.32679397075e-06,0.826390850632
0,C2doubles00915,3.59247062086e-07,1.00108452923,1.00108452923,2.99724698748e-06,2.91721279168e-07,0.707936341296,0.732806420684,2.96399699809e-06,1.49622879105
0,C2doubles00956,2.33825220467e-06,1.00108452923,1.00108452923,7.11825206948e-06,2.40356083113e-06,0.920860397143,1.04387818012,7.04402525071e-06,0.934270587489
0,C2doubles00974,2.96325160938e-06,1.00108452923,1.00108452923,3.81725157108e-06,3.03317657046e-06,0.855983335944,1.34335199385,3.63306917859e-06,1.26710125858
0,C2doubles00981,6.1732549843e-06,1.00108452923,1.00108452923,7.11725494346e-06,6.21197381223e-06,1.16441943195,0.814075607903,6.73768513982e-06,0.888429070859
0,C2doubles00999,8.49253402018e-07,1.00108452923,1.00108452923,4.66025329424e-06,8.30003428254e-07,0.976029659379,1.04986554236,4.66276077243e-06,1.15963728974
0,C2doubles01007,3.68424985614e-06,1.00108452923,1.00108452923,7.8402497386e-06,3.64663093169e-06,0.826691748585,0.891538391848,7.77926804098e-06,3.34810887919
0,C2doubles01011,3.09025045055e-06,1.00108452923,1.00108452923,6.6242503506e-06,3.10258152579e-06,1.16646378055,1.06913599073,6.63231668932e-06,0.867951656758
0,C2doubles01075,3.46024524153e-06,1.00108452923,1.00108452923,8.12324510965e-06,3.36799806725e-06,0.771555312688,0.715301081171,8.06667219177e-06,1.32213306088
0,C2doubles01094,4.93324808796e-06,1.00108452923,1.00108452923,5.40724806041e-06,4.9719981263e-06,0.953624945866,0.466256507828,4.97114284207e-06,0.815220433755
0,C2doubles01228,6.3572451596e-06,1.00108452923,1.00108452923,6.52524514071e-06,6.41199515213e-06,0.475413041903,0.962781699645,6.40656153917e-06,10.3224087606
0,C2doubles01271,3.44825101804e-06,1.00108452923,1.00108452923,7.62025090005e-06,3.44577204058e-06,1.08670614208,0.730208036054,7.57879050715e-06,1.1681063033
0,C2doubles01307,1.18224934928e-06,1.00108452923,1.00108452923,4.69124925004e-06,1.09640107604e-06,0.875746618463,0.857445978643,4.64823849311e-06,0.836334806219
0,C2doubles01387,1.5292504947e-06,1.00108452923,1.00108452923,2.58125045081e-06,1.5703361242e-06,1.05506854769,0.933370685846,1.93835296914e-06,0.885219514689
0,C2doubles01474,9.09248779383e-07,1.00108452923,1.00108452923,1.94124873605e-06,9.5998591292e-07,1.04586186877,1.03838673684,1.53633619563e-06,0.824181456918
0,C2doubles01475,5.2752486559e-06,1.00108452923,1.00108452923,6.26924861365e-06,5.32226645887e-06,0.955375838481,1.12915148144,6.15468467851e-06,0.83281869331
0,C2doubles01483,6.6102468853e-06,1.00108452923,1.00108452923,8.25824683869e-06,6.57599695194e-06,0.887492357929,1.05605109687,8.2370338199e-06,0.74862525221
0,C2doubles01518,1.35524761153e-06,1.00108452923,1.00108452923,8.01624742315e-06,1.28052321267e-06,1.26969636476,0.869754514821,7.96307218092e-06,2.65337288416
0,C2doubles01519,5.30924634447e-06,1.00108452923,1.00108452923,8.13724626449e-06,5.24930568361e-06,0.954859266911,0.851911969657,8.04237624661e-06,1.00321429959
0,C2doubles01563,3.30325102215e-06,1.00108452923,1.00108452923,4.67925096909e-06,3.35710477567e-06,0.909119336931,0.985688977164,4.58040888308e-06,0.945482215819
0,C2doubles01649,6.74725034712e-06,1.00108452923,1.00108452923,7.63525030787e-06,6.80405339017e-06,1.10074314381,0.877154181763,7.24814116554e-06,0.912641192919
0,C2doubles01705,1.96724932708e-06,1.00108452923,1.00108452923,4.57324925338e-06,1.97235308932e-06,0.890585621589,1.01402566978,4.51650453483e-06,0.849458394443
0,C2doubles01727,7.93249937898e-07,1.00108452923,1.00108452923,6.77324976877e-06,7.55049084385e-07,1.07482240519,1.03489286895,6.71000004932e-06,0.899687893068
0,C2doubles01758,2.85524237056e-06,1.00108452923,1.00108452923,3.895242327e-06,2.90063067305e-06,0.996971452904,1.13098232356,3.40782879813e-06,0.977995315717
0,C2doubles01804,2.1742550974e-06,1.00108452923,1.00108452923,7.67825494173e-06,2.13024529958e-06,1.14038982563,1.0144396647,7.59562228202e-06,0.666851719872
