,fname,one_x_offset_init,one_amplitude_init,two_amplitude_init,two_x_offset_init,one_x_offset_fitted,one_amplitude_fitted,two_amplitude_fitted,two_x_offset_fitted
0,C2doubles00051,3.77124869844e-06,0.993507199897,0.993507199897,4.16724866829e-06,3.81399988442e-06,0.835685592797,1.07874291551,3.92149485879e-06
0,C2doubles00051,3.77124869844e-06,0.993507199897,0.993507199897,4.16724866829e-06,3.81399988442e-06,0.835685592797,1.07874291551,3.92149485879e-06
0,C2doubles00057,5.94524979219e-06,0.993507199897,0.993507199897,7.01124974309e-06,5.99783135552e-06,0.858338096694,1.0729298626,6.86444300491e-06
0,C2doubles00060,5.43525384993e-06,0.993507199897,0.993507199897,7.4712537734e-06,5.47400457223e-06,1.02277722028,0.901475484695,7.44528127007e-06
0,C2doubles00121,4.77724693714e-06,0.993507199897,0.993507199897,7.55724685851e-06,4.81868214017e-06,0.831412877118,0.829539535341,7.60153964093e-06
0,C2doubles00134,3.41124697577e-06,0.993507199897,0.993507199897,7.92724684805e-06,3.46199702781e-06,0.879085251483,0.811468687962,8.00653326551e-06
0,C2doubles00140,7.59124974564e-06,0.993507199897,0.993507199897,7.94324971673e-06,7.66494587754e-06,0.683492842593,1.05765055072,7.77323230803e-06
0,C2doubles00213,1.81724586562e-06,0.993507199897,0.993507199897,4.12124578151e-06,1.90301122266e-06,1.07298485976,0.824331691301,4.16369405664e-06
0,C2doubles00216,3.89125100552e-06,0.993507199897,0.993507199897,6.37125091643e-06,3.97687615395e-06,0.852587880879,1.01525923354,6.35188724631e-06
0,C2doubles00242,3.33924755542e-06,0.993507199897,0.993507199897,4.11124751464e-06,3.36799749356e-06,0.972631170661,0.812295413285,3.76665449802e-06
0,C2doubles00265,4.70724751673e-06,0.993507199897,0.993507199897,6.29124745299e-06,4.79481922017e-06,1.09293140301,0.971912190125,6.22532472657e-06
