,fname,one_x_offset_init,one_amplitude_init,two_amplitude_init,two_x_offset_init,one_x_offset_fitted,one_amplitude_fitted,two_amplitude_fitted,two_x_offset_fitted
0,C2doubles75498,2.97126027341e-06,0.993507199897,0.993507199897,5.9872601768e-06,3.02400463064e-06,0.74395651499,0.930885784728,5.68123688498e-06
0,C2doubles75627,6.95255716843e-07,0.993507199897,0.993507199897,2.52325565383e-06,7.46920623691e-07,0.788653164787,1.11021085569,2.16358842324e-06
0,C2doubles75663,1.77925048763e-06,0.993507199897,0.993507199897,7.09525032597e-06,2.07004695926e-06,1.0322966133,1.19162938122,6.81351804462e-06
0,C2doubles75664,3.65261502349e-07,0.993507199897,0.993507199897,4.75526136688e-06,4.6113930395e-07,0.949306823881,0.879124545915,4.70773183115e-06
0,C2doubles75701,7.45252249725e-07,0.993507199897,0.993507199897,4.54925213083e-06,7.7487420114e-07,1.008428753,0.976595147549,4.3048272484e-06
0,C2doubles75745,4.94525155332e-06,0.993507199897,0.993507199897,5.72325152001e-06,4.9840018683e-06,0.9084755853,0.974490765783,5.16770931789e-06
0,C2doubles75761,2.16925683039e-06,0.993507199897,0.993507199897,7.68925666296e-06,2.1990736121e-06,1.10967592815,0.920830112911,7.37893887772e-06
0,C2doubles76064,6.85253984274e-07,0.993507199897,0.993507199897,6.29925381419e-06,7.32938021621e-07,1.00966671126,0.857786271933,6.11128641705e-06
0,C2doubles76098,3.43256304416e-07,0.993507199897,0.993507199897,6.42525612109e-06,3.86040740292e-07,0.886865868956,0.944324618365,6.16458288311e-06
0,C2doubles76117,2.05125336802e-06,0.993507199897,0.993507199897,6.36125323482e-06,2.08925474096e-06,0.971280134038,1.0839184402,6.02863692485e-06
0,C2doubles76143,1.73525337696e-06,0.993507199897,0.993507199897,4.9332532752e-06,1.76243423477e-06,0.940282885032,0.816786857664,4.91400334873e-06
0,C2doubles76157,2.66525566113e-06,0.993507199897,0.993507199897,5.35925557362e-06,2.72512023857e-06,0.91152675691,1.00255030456,4.4930230887e-06
0,C2doubles76166,3.6552614093e-06,0.993507199897,0.993507199897,6.04126133051e-06,3.7469774385e-06,0.646325112148,0.768111267907,5.84653503025e-06
0,C2doubles76256,3.42725159626e-06,0.993507199897,0.993507199897,8.26125144823e-06,3.52922078301e-06,0.828040753068,0.796650409202,7.87129017101e-06
0,C2doubles76351,3.53251683194e-07,0.993507199897,0.993507199897,8.1772514506e-06,3.92001645402e-07,1.06450435566,0.997192687431,7.96955884406e-06
0,C2doubles76365,1.7172545327e-06,0.993507199897,0.993507199897,2.51325449888e-06,1.85668301792e-06,0.69980287989,1.185853027,2.01948974898e-06
0,C2doubles76384,5.65325961994e-06,0.993507199897,0.993507199897,6.99125957079e-06,5.72200965774e-06,0.967834467981,1.07288183142,6.74188168315e-06
0,C2doubles76425,8.53257445226e-07,0.993507199897,0.993507199897,3.18525736796e-06,1.01720590486e-06,0.818613236626,1.04907571627,2.40928067867e-06
0,C2doubles76454,3.95925562453e-06,0.993507199897,0.993507199897,5.13125558007e-06,4.03652256185e-06,1.06737146411,0.930640399017,4.81444837324e-06
0,C2doubles76467,1.86325164049e-06,0.993507199897,0.993507199897,6.85325148805e-06,1.99929551877e-06,0.779836382553,0.821037288623,6.84613914112e-06
0,C2doubles76468,1.68725568879e-06,0.993507199897,0.993507199897,3.21925563415e-06,1.75747421409e-06,1.2501073983,0.834010807744,2.5080115972e-06
0,C2doubles76493,8.87255711413e-07,0.993507199897,0.993507199897,2.2732556609e-06,9.37145767778e-07,0.857572490748,1.04857591102,1.68251641904e-06
0,C2doubles76617,2.34725740297e-06,0.993507199897,0.993507199897,7.50725724573e-06,2.39390332448e-06,0.705280516161,0.709155863898,7.19001193652e-06
0,C2doubles76618,3.90525620368e-06,0.993507199897,0.993507199897,6.1492561289e-06,3.99278882029e-06,0.749826135375,1.17039180033,5.07959746603e-06
0,C2doubles76674,3.71125851963e-06,0.993507199897,0.993507199897,5.55725845611e-06,3.76972002978e-06,0.871055266314,0.803222677867,5.24000851365e-06
0,C2doubles76698,4.30325272672e-06,0.993507199897,0.993507199897,5.47525268226e-06,4.60238538916e-06,0.950243855899,0.464192524156,5.24714217734e-06
0,C2doubles76724,4.01525273486e-06,0.993507199897,0.993507199897,7.71725261885e-06,4.11193231035e-06,0.850905958418,1.01735343104,7.54259642291e-06
0,C2doubles76726,3.43525968267e-06,0.993507199897,0.993507199897,4.85725963114e-06,3.47070795586e-06,1.10155430582,0.732909531438,4.30783203637e-06
0,C2doubles76732,3.04925796074e-06,0.993507199897,0.993507199897,7.67325781865e-06,3.0840201886e-06,0.920952938035,1.07570155205,7.35526497873e-06
0,C2doubles76739,4.39255724083e-07,0.993507199897,0.993507199897,3.07925563811e-06,4.74804283179e-07,0.91829019748,1.31503602481,2.66453143339e-06
0,C2doubles76947,4.79257455804e-07,0.993507199897,0.993507199897,1.72525740925e-06,5.34965891397e-07,0.708419603239,0.713216608711,5.37359898177e-07
0,C2doubles77001,4.35255724196e-07,0.993507199897,0.993507199897,3.69325562074e-06,4.58924473764e-07,0.769939829905,0.776357377162,3.57547160807e-06
0,C2doubles77023,6.93125727333e-06,0.993507199897,0.993507199897,7.67325724103e-06,6.98280163479e-06,0.950243855901,0.46419252416,7.0513151338e-06
0,C2doubles77052,2.84925912163e-06,0.993507199897,0.993507199897,6.61125900392e-06,2.89360877416e-06,1.16487844098,1.01542945513,6.43544517461e-06
0,C2doubles77060,5.66126077495e-06,0.993507199897,0.993507199897,6.5712607379e-06,5.73593263439e-06,0.88320119283,1.14766409547,6.09809968314e-06
0,C2doubles77062,1.4772580052e-06,0.993507199897,0.993507199897,3.78125792872e-06,1.52694815111e-06,0.86481591215,0.839985724201,3.36443156409e-06
0,C2doubles77080,6.35525555677e-06,0.993507199897,0.993507199897,8.19125549353e-06,6.41942631994e-06,1.22048923814,0.850223662936,8.0861978336e-06
0,C2doubles77084,3.3492562194e-06,0.993507199897,0.993507199897,5.86125613704e-06,3.43508357848e-06,1.17821863592,0.692167304174,5.87314001029e-06
0,C2doubles77188,3.70325447654e-06,0.993507199897,0.993507199897,4.62925443903e-06,3.75002162101e-06,0.82787452278,1.10226408087,4.26112728935e-06
